2240-Feb-23	P	10:55:57	33	-	12:36:41	37	183	-	14:14:25	32	0.667	0.567	-
2242-Dec-22	P	15:04:21	13	-	15:45:23	08	228	-	16:24:26	02	0.187	0.095	-
2245-May-26	P	08:48:17	42	-	10:00:55	55	118	-	11:20:43	66	0.808	0.762	-
2247-Sep-29	P	10:52:36	42	-	12:19:00	45	185	-	13:45:07	39	0.885	0.848	-
2251-Jul-19	P	06:25:05	14	-	07:34:47	27	086	-	08:53:23	41	0.945	0.916	-
2254-May-17	P	07:32:44	28	-	08:35:40	39	100	-	09:45:03	51	0.692	0.62	-
2259-Aug-19	P	05:49:12	03	-	06:41:47	13	084	-	07:38:37	23	0.591	0.498	-
2260-Aug-07	P	18:48:57	06	-	19:25(s)	0(s)	292	-	19:25(s)	0(s)	0.541(s)	0.433(s)	-
2261-Dec-22	P	15:26:44	10	-	16:32:38	01	236	-	16:40(s)	0(s)	0.696	0.622	-
2263-Jun-06	P	18:22:07	14	-	19:18:38	04	297	-	19:47(s)	0(s)	0.988	0.988	-
2264-Oct-20	P	17:00:14	03	-	17:02:02	03	252	-	17:04:07	03	0	0	-
2266-Sep-29	P	06:13(r)	0(r)	-	06:13(r)	0(r)	093	-	07:01:46	08	0.521(r)	0.417(r)	-
2267-Mar-26	P	06:39:47	05	-	07:51:58	18	104	-	09:12:04	32	0.913	0.85	-
2269-Jul-29	P	15:35:50	43	-	16:34:46	32	266	-	17:29:08	22	0.369	0.252	-
2272-May-27	P	17:32:22	22	-	18:25:56	12	288	-	19:15:45	04	0.611	0.522	-
2275-Oct-19	P	17:18:47	01	-	17:23(s)	0(s)	256	-	17:23(s)	0(s)	0.034(s)	0.007(s)	-
2279-Jan-13	P	07:47(r)	0(r)	-	07:47(r)	0(r)	120	-	07:50:20	00	0.008(r)	0.001(r)	-
2284-Apr-16	P	11:48:34	57	-	12:56:56	56	199	-	14:04:34	50	0.369	0.252	-
2286-Aug-20	P	14:41:45	47	-	15:10:30	42	243	-	15:38:23	37	0.082	0.028	-
2289-Jan-22	P	08:43:07	09	-	09:51:05	18	142	-	11:03:41	25	0.609	0.52	-
2291-May-28	P	17:14:49	25	-	17:47:14	19	282	-	18:18:21	14	0.178	0.089	-
2292-Nov-09	P	14:50:49	18	-	16:07:14	07	238	-	16:54(s)	0(s)	0.599	0.495	-
2294-Mar-27	P	09:05:03	31	-	10:38:31	44	143	-	12:20:37	50	0.909	0.846	-
2296-Aug-29	P	06:14:46	06	-	06:51:40	12	089	-	07:30:44	20	0.162	0.076	-
2298-Jan-13	P	07:46(r)	0(r)	-	07:58:26	02	121	-	09:05:06	11	0.752	0.691	-
2299-Jun-28	P	06:11:11	14	-	07:04:57	24	080	-	08:03:19	34	0.607	0.517	-
